wreck_id,obstruction_type,lat,lon,water_depth,original_date
85209,,1.40457,103.934,8,2016
73808,,1.452,103.86063,6,2009
73812,,1.41972,103.91793,7,2009
45736,foul ground,1.45507,103.85205,3,1987
85189,,1.45513,103.85695,5,2016
85195,,1.42135,103.95482,5,2016
95822,foul area,1.4448,103.76003,11,2019
80599,foul area,1.45423,103.73153,7,2013
95445,foul area,1.44965,103.7381,5,2019
80601,foul area,1.44405,103.74653,9,2013
95818,,1.44507,103.74837,7,2019
95821,foul area,1.4448,103.75017,6,2019
95825,foul area,1.44465,103.76252,7,2019
95362,,1.44272,103.7542,5,2019
95756,foul area,1.17842,103.75497,27,2017
46160,,1.21208,103.71545,1,1993
68404,foul ground,1.1774,103.69898,24,2006
39655,,39.46447,26.25055,6,1962
102140,,2.77325,100.67753,11,2023
81599,,2.17232,102.20257,25,2014
39567,,39.93418,26.04493,15,1946
102271,foul ground,41.23562,13.58535,10,2023
36937,foul ground,41.24198,13.58078,7,1975
39568,,39.9586,26.04723,15,1946
62458,,40.08052,26.02042,71,2003
36938,foul ground,41.2378,13.57292,5,1970
36940,foul ground,41.22518,13.57162,7,1975
62459,,40.03932,26.0315,72,2003
101932,foul ground,6.9236,79.82912,8,2023
36941,foul ground,41.2175,13.57367,6,1975
100571,,1.58517,110.44372,7,2022
36942,foul ground,41.21513,13.5807,13,1975
101044,foul ground,59.49517,2.02517,122,2022
43074,,28.34377,33.12077,10,1942
43068,,28.34357,33.11505,7,1983
